path,trans,duration,note
voice/3030006000_birthday1,Happy Birthday！,1,生日
voice/3030006000_birthday2,生日快乐。,1,
voice/3030006000_birthday4,真好啊~~我也想快点成为漂亮的大小姐~,5,
voice/3040131000_mypage1,嗯……我的和服很稀奇吗？你可以再靠近点看看哦。\n嗯？这衣服什么构造我也不知道，哈哈哈。,13,
voice/3040131000_mypage2,天蓝蓝的，感觉真舒服。\n原来的世界天空也一直在头上，这事对我们来说实在太过理所当然。\n不过像这样换个角度眺望天空，又感觉它有些新鲜呢。\n哈哈哈，善哉善哉。,24,
voice/3040131000_mypage3,这个飞在天上的船，名字叫什么？\n格拉……赛……哈……？\n哈哈哈，对老爷爷来说这名字好难记啊。,13,
voice/3040065000_mypage1,从船上眺望天空的景色我也已经看习惯了……\n我跟你一起旅行了很长一段时间啊,8,首页
voice/3040065000_mypage2,"呐呐，刚才卡塔莉娜她夸我了！她说我成长成漂亮的淑女了。\n你也是这么想的吧？ ",7,
voice/3040065000_mypage3,我的这把杖和衣服，是师傅他用上魔力为我制作的。\n啊，不过衣服的布料是我自己选的！,8,
voice/3040150000_mypage1,用枪进行远距离火力压制……进行无从抵抗的压倒性攻击……团长，只要你原意，我会随时为你蹂躏世界的敌人，蹂躏你的敌人。,17,铳佐
voice/3040150000_mypage2,小龙的数量变多了？嗯，其实，如果我的魔力变强，龙的数量就会自然增加呢。呵呵，要给它们取什么名字呢，一起来想吧。,16,
voice/3040150000_mypage3,能化为人形，真的太好了。感谢你告诉我人类的喜悦。今后也一起前进吧。,15,
voice/3040078000_birthday1,Happy Birthday！,1,生日（大概跟信用卡的一样）
voice/3040078000_birthday2,生日快乐！,1,
voice/3040121000_mypage1,手下留情真是很难做到啊~……。我还是觉得，全部一起砰地炸飞最好了☆,7,光佐仓
voice/3040121000_mypage3,父亲大人，母亲大人，不管你们怎么说，我都不会放弃这个想法的！,6,
voice/3040121000_mypage5,这件衣服，真是非常合身啊~我要是也能做到炼出这样的衣服就好了……,7,
voice/3040153000_mypage1,我和你们只是因为利害一致而暂时共同行动罢了。就让我们在必要时刻并肩作战吧。,9,圣德芬
